ID,Latitude,Longitude,Region,Elevation,Slope,Aspect,Hillshade,TPI,Roughness,Curvature,Rain_7d,Rain_30d,Rain_year,NDVI,NDMI,NBR,BSI,Distance_to_River,Landcover,Treecover,Cropland,Builtup,Landslide_Score,Prediction_Class,Prediction_Landslide,Ground_Truth,Observation_Time
0_0,-6.93706093928575,106.6398266069653,Sukabumi,423,18,200,200,4.8965517241379075,19,-14.0,51.025424003601074,525.1561279296875,3838.5183500126004,0.79777116,0.28272152,0.6009604,-0.25312832,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
1_0,-7.014944874418909,106.79694195015782,Sukabumi,364,3,19,177,0.7931034482758719,3,-6.0,52.89391231536865,415.85791397094727,3605.1781547516584,0.07004957,-0.035397816,0.02093626,0.051912002,-9999.0,50,0,0,1,0.2,1,Low,0,2026-04-19 10:08:07
2_0,-6.867261841709656,106.51262516273403,Sukabumi,572,10,221,201,-6.2413793103448825,9,22.0,67.74051094055176,630.0347790718079,4673.4528862684965,0.6448969,0.27327713,0.5097066,-0.18494828,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
3_0,-7.047284224647207,106.66354213046606,Sukabumi,574,24,282,253,-9.482758620689651,27,25.0,43.14973044395447,428.1702036857605,3514.5703032016754,0.814585,0.30251798,0.60719043,-0.2677255,-9999.0,10,1,0,0,1.8499999999999999,3,High,0,2026-04-19 10:08:07
4_0,-7.284708954239996,106.58619718450336,Sukabumi,209,19,123,130,-0.6551724137931103,18,-1.0,59.21362257003784,569.9650750160217,3351.0038492381573,0.6806563,0.1913743,0.44366527,-0.1381995,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
5_0,-6.877502635948623,106.42180548750952,Sukabumi,388,29,290,255,-9.034482758620697,24,55.0,68.6213493347168,567.7788238525391,4338.457787491381,0.79943275,0.27914405,0.57584685,-0.25079212,-9999.0,10,1,0,0,1.65,3,High,0,2026-04-19 10:08:07
6_0,-7.065070867272773,106.8193100007324,Sukabumi,557,6,261,198,0.10344827586209249,4,-5.0,61.29302644729614,446.20366191864014,3530.538480386138,0.6969853,0.21512914,0.4851155,-0.17142002,-9999.0,10,1,0,0,0.9,1,Low,0,2026-04-19 10:08:07
7_0,-6.829802094361874,106.84895440510837,Sukabumi,679,14,125,143,-7.275862068965466,13,19.0,59.40731430053711,436.0052971839905,3761.2256669700146,0.63037246,0.28483683,0.5656706,-0.20340864,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
8_0,-7.1690957771738155,106.71609357458709,Sukabumi,759,10,15,172,1.3448275862068613,11,-15.0,47.21065926551819,514.6838676929474,3506.2242202162743,0.69973814,0.20695934,0.47018236,-0.16722283,-9999.0,30,0,0,0,0.9,1,Low,0,2026-04-19 10:08:07
9_0,-7.021682239049802,106.80017588518064,Sukabumi,424,12,62,149,-1.1034482758620925,11,9.0,57.065611600875854,405.7312948703766,3594.984003454447,0.7804516,0.23058878,0.53667665,-0.20664561,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
10_0,-6.804469603349709,106.84814592135263,Sukabumi,706,14,67,140,16.413793103448256,18,-69.0,59.40731430053711,436.0052971839905,3761.2256669700146,0.8343206,0.28546324,0.5933606,-0.26235345,-9999.0,10,1,0,0,1.7000000000000002,3,High,0,2026-04-19 10:08:07
11_0,-7.00712953144707,106.78211974796983,Sukabumi,212,14,188,186,-5.275862068965523,15,17.0,52.89391231536865,415.85791397094727,3605.1781547516584,0.14544022,0.1988769,0.44568527,-0.05901223,-9999.0,10,1,0,0,1.35,2,Moderate,0,2026-04-19 10:08:07
12_0,-6.920082780415889,106.46249916988012,Sukabumi,192,8,159,172,2.4137931034482847,8,-15.0,65.79751205444336,569.590579032898,3986.147403076291,0.8101064,0.31577906,0.6162432,-0.28107736,-9999.0,10,1,0,0,1.1,2,Moderate,0,2026-04-19 10:08:07
13_0,-7.274198665415803,106.41695458497526,Sukabumi,101,5,233,192,0.551724137931032,4,6.0,55.745018005371094,608.5278930664062,3331.6051601171494,0.71337456,0.2559738,0.5350057,-0.22801556,-9999.0,10,1,0,0,0.6000000000000001,1,Low,0,2026-04-19 10:08:07
14_0,-7.231079531778057,106.97130494680545,Sukabumi,218,6,108,163,-0.3448275862068897,6,7.0,56.14951491355896,496.7992036342621,3579.780110538006,0.6599804,0.19987708,0.43229562,-0.14517799,-9999.0,10,1,0,0,0.9,1,Low,0,2026-04-19 10:08:07
15_0,-7.221916715880049,106.67971180558021,Sukabumi,516,11,180,180,1.206896551724185,12,3.0,58.25139856338501,599.2032647132874,3753.8845151662827,0.63433886,0.14802164,0.42125952,-0.0939544,-9999.0,10,1,0,0,0.7,1,Low,0,2026-04-19 10:08:07
16_0,-6.815518881344367,106.72606487424082,Sukabumi,510,1,90,177,0.06896551724139499,1,2.0,50.84769821166992,385.6194739341736,3504.4903784543276,0.33375394,0.046755448,0.14054492,-0.023759536,-9999.0,50,0,0,1,0.4,1,Low,0,2026-04-19 10:08:07
17_0,-7.223533683391459,106.95378779876512,Sukabumi,253,6,261,198,0.6551724137931103,6,1.0,56.14951491355896,496.7992036342621,3579.780110538006,0.6056709,0.106284656,0.27577937,-0.06496444,-9999.0,40,0,1,0,0.7,1,Low,0,2026-04-19 10:08:07
18_0,-7.193619784430275,106.77160945914568,Sukabumi,715,18,31,152,7.8275862068965125,17,-35.0,60.58730173110962,489.9474244117737,3655.6676686108112,0.43694493,0.008092054,0.23127607,0.050137743,-9999.0,10,1,0,0,0.9500000000000001,1,Low,0,2026-04-19 10:08:07
19_0,-6.885317978920462,106.51666758151254,Sukabumi,584,19,239,230,4.7586206896551175,18,-25.0,67.74051094055176,630.0347790718079,4673.4528862684965,0.80194974,0.27356145,0.5854355,-0.24376057,-9999.0,10,1,0,0,1.35,2,Moderate,0,2026-04-19 10:08:07
20_0,-7.080162564045985,106.5802683036282,Sukabumi,588,33,3,175,9.379310344827559,40,-20.0,57.32349395751953,538.9031085968018,3832.8169722110033,0.8094994,0.32422942,0.62615883,-0.29120287,-9999.0,10,1,0,0,1.8499999999999999,3,High,0,2026-04-19 10:08:07
21_0,-7.260184946983536,106.80287083103303,Sukabumi,453,4,284,192,2.275862068965523,5,-4.0,61.54411745071411,533.113347530365,3461.7762438058853,0.8325923,0.3548229,0.6461076,-0.32476726,-9999.0,10,1,0,0,0.8,1,Low,0,2026-04-19 10:08:07
22_0,-7.404903539255194,106.755978773202,Sukabumi,53,10,27,166,-1.5862068965517224,10,10.0,52.1946063041687,577.4643445014954,3325.625244796276,0.5717953,0.12098127,0.33602923,-0.068375215,-9999.0,10,1,0,0,0.7,1,Low,0,2026-04-19 10:08:07
23_0,-7.21598783500486,106.72714285258172,Sukabumi,571,6,199,186,-2.8275862068965125,6,11.0,57.90213966369629,554.2043333053589,3614.3073887676,0.6351561,0.28677875,0.5397056,-0.23573704,-9999.0,40,0,1,0,1.1,2,Moderate,0,2026-04-19 10:08:07
